LAD18CD,LAD18NM,LAU118CD,LAU118NM,NUTS318CD,NUTS318NM,NUTS218CD,NUTS218NM,NUTS118CD,NUTS118NM,FID
E07000146,King's Lynn and West Norfolk,E07000146,King's Lynn and West Norfolk,UKH16,North and West Norfolk,UKH1,East Anglia,UKH,East of England,210
E07000143,Breckland,E07000143,Breckland,UKH17,Breckland and South Norfolk,UKH1,East Anglia,UKH,East of England,211
E07000149,South Norfolk,E07000149,South Norfolk,UKH17,Breckland and South Norfolk,UKH1,East Anglia,UKH,East of England,212
E06000032,Luton,E06000032,Luton,UKH21,Luton,UKH2,Bedfordshire and Hertfordshire,UKH,East of England,213
E07000096,Dacorum,E07000096,Dacorum,UKH23,Hertfordshire,UKH2,Bedfordshire and Hertfordshire,UKH,East of England,214
E07000103,Watford,E07000103,Watford,UKH23,Hertfordshire,UKH2,Bedfordshire and Hertfordshire,UKH,East of England,215
E07000098,Hertsmere,E07000098,Hertsmere,UKH23,Hertfordshire,UKH2,Bedfordshire and Hertfordshire,UKH,East of England,216
E07000240,St Albans,E07000240,St Albans,UKH23,Hertfordshire,UKH2,Bedfordshire and Hertfordshire,UKH,East of England,217
E07000243,Stevenage,E07000243,Stevenage,UKH23,Hertfordshire,UKH2,Bedfordshire and Hertfordshire,UKH,East of England,218
E07000095,Broxbourne,E07000095,Broxbourne,UKH23,Hertfordshire,UKH2,Bedfordshire and Hertfordshire,UKH,East of England,219
E07000102,Three Rivers,E07000102,Three Rivers,UKH23,Hertfordshire,UKH2,Bedfordshire and Hertfordshire,UKH,East of England,220
E07000241,Welwyn Hatfield,E07000241,Welwyn Hatfield,UKH23,Hertfordshire,UKH2,Bedfordshire and Hertfordshire,UKH,East of England,221
E07000242,East Hertfordshire,E07000242,East Hertfordshire,UKH23,Hertfordshire,UKH2,Bedfordshire and Hertfordshire,UKH,East of England,222
E07000099,North Hertfordshire,E07000099,North Hertfordshire,UKH23,Hertfordshire,UKH2,Bedfordshire and Hertfordshire,UKH,East of England,223
E06000055,Bedford,E06000055,Bedford,UKH24,Bedford,UKH2,Bedfordshire and Hertfordshire,UKH,East of England,224
E06000056,Central Bedfordshire,E06000056,Central Bedfordshire,UKH25,Central Bedfordshire,UKH2,Bedfordshire and Hertfordshire,UKH,East of England,225
E06000033,Southend-on-Sea,E06000033,Southend-on-Sea,UKH31,Southend-on-Sea,UKH3,Essex,UKH,East of England,226
E06000034,Thurrock,E06000034,Thurrock,UKH32,Thurrock,UKH3,Essex,UKH,East of England,227
E07000076,Tendring,E07000076,Tendring,UKH34,Essex Haven Gateway,UKH3,Essex,UKH,East of England,228
E07000067,Braintree,E07000067,Braintree,UKH34,Essex Haven Gateway,UKH3,Essex,UKH,East of England,229
E07000071,Colchester,E07000071,Colchester,UKH34,Essex Haven Gateway,UKH3,Essex,UKH,East of England,230
E07000073,Harlow,E07000073,Harlow,UKH35,West Essex,UKH3,Essex,UKH,East of England,231
E07000077,Uttlesford,E07000077,Uttlesford,UKH35,West Essex,UKH3,Essex,UKH,East of England,232
E07000072,Epping Forest,E07000072,Epping Forest,UKH35,West Essex,UKH3,Essex,UKH,East of England,233
E07000074,Maldon,E07000074,Maldon,UKH36,Heart of Essex,UKH3,Essex,UKH,East of England,234
E07000068,Brentwood,E07000068,Brentwood,UKH36,Heart of Essex,UKH3,Essex,UKH,East of England,235
E07000070,Chelmsford,E07000070,Chelmsford,UKH36,Heart of Essex,UKH3,Essex,UKH,East of England,236
E07000066,Basildon,E07000066,Basildon,UKH37,Essex Thames Gateway,UKH3,Essex,UKH,East of England,237
E07000075,Rochford,E07000075,Rochford,UKH37,Essex Thames Gateway,UKH3,Essex,UKH,East of England,238
E07000069,Castle Point,E07000069,Castle Point,UKH37,Essex Thames Gateway,UKH3,Essex,UKH,East of England,239
E09000007,Camden,E09000007,Camden,UKI31,Camden and City of London,UKI3,Inner London - West,UKI,London,240
E09000001,City of London,E09000001,City of London,UKI31,Camden and City of London,UKI3,Inner London - West,UKI,London,241
E09000033,Westminster,E09000033,Westminster,UKI32,Westminster,UKI3,Inner London - West,UKI,London,242
E09000013,Hammersmith and Fulham,E09000013,Hammersmith and Fulham,UKI33,Kensington & Chelsea and Hammersmith & Fulham,UKI3,Inner London - West,UKI,London,243
E09000020,Kensington and Chelsea,E09000020,Kensington and Chelsea,UKI33,Kensington & Chelsea and Hammersmith & Fulham,UKI3,Inner London - West,UKI,London,244
E09000032,Wandsworth,E09000032,Wandsworth,UKI34,Wandsworth,UKI3,Inner London - West,UKI,London,245
E09000025,Newham,E09000025,Newham,UKI41,Hackney and Newham,UKI4,Inner London - East,UKI,London,246
E09000012,Hackney,E09000012,Hackney,UKI41,Hackney and Newham,UKI4,Inner London - East,UKI,London,247
E09000030,Tower Hamlets,E09000030,Tower Hamlets,UKI42,Tower Hamlets,UKI4,Inner London - East,UKI,London,248
E09000014,Haringey,E09000014,Haringey,UKI43,Haringey and Islington,UKI4,Inner London - East,UKI,London,249
E09000019,Islington,E09000019,Islington,UKI43,Haringey and Islington,UKI4,Inner London - East,UKI,London,250
S12000017,Highland,S30000028,Ross and Cromarty,UKM61,Caithness and Sutherland and Ross and Cromarty,UKM6,Highlands and Islands,UKM,Scotland,251
E06000054,Wiltshire,E06000054,Wiltshire,UKK15,Wiltshire,UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK,South West (England),252
S12000017,Highland,S30000029,Caithness and Sutherland,UKM61,Caithness and Sutherland and Ross and Cromarty,UKM6,Highlands and Islands,UKM,Scotland,253
S12000020,Moray,S30000032,West Moray,UKM62,"Inverness and Nairn and Moray, Badenoch and Strathspey",UKM6,Highlands and Islands,UKM,Scotland,254
S12000020,Moray,S30000033,North East Moray,UKM62,"Inverness and Nairn and Moray, Badenoch and Strathspey",UKM6,Highlands and Islands,UKM,Scotland,255
S12000017,Highland,S30000030,Inverness and Nairn,UKM62,"Inverness and Nairn and Moray, Badenoch and Strathspey",UKM6,Highlands and Islands,UKM,Scotland,256
E06000029,Poole,E06000029,Poole,UKK21,Bournemouth and Poole,UKK2,Dorset and Somerset,UKK,South West (England),257
S12000017,Highland,S30000031,Badenoch and Strathspey,UKM62,"Inverness and Nairn and Moray, Badenoch and Strathspey",UKM6,Highlands and Islands,UKM,Scotland,258
E06000028,Bournemouth,E06000028,Bournemouth,UKK21,Bournemouth and Poole,UKK2,Dorset and Somerset,UKK,South West (England),259
S12000017,Highland,S30000037,Lochaber,UKM63,"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute",UKM6,Highlands and Islands,UKM,Scotland,260
E07000051,Purbeck,E07000051,Purbeck,UKK22,Dorset CC,UKK2,Dorset and Somerset,UKK,South West (England),261
S12000017,Highland,S30000038,Skye and Lochalsh,UKM63,"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute",UKM6,Highlands and Islands,UKM,Scotland,262
E07000049,East Dorset,E07000049,East Dorset,UKK22,Dorset CC,UKK2,Dorset and Somerset,UKK,South West (England),263
S12000021,North Ayrshire,S30000034,Arran and Cumbrae,UKM63,"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute",UKM6,Highlands and Islands,UKM,Scotland,264
E07000052,West Dorset,E07000052,West Dorset,UKK22,Dorset CC,UKK2,Dorset and Somerset,UKK,South West (England),265
S12000035,Argyll and Bute,S30000035,Argyll and Bute Islands,UKM63,"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute",UKM6,Highlands and Islands,UKM,Scotland,266
E07000048,Christchurch,E07000048,Christchurch,UKK22,Dorset CC,UKK2,Dorset and Somerset,UKK,South West (England),267
S12000035,Argyll and Bute,S30000036,Argyll and Bute Mainland,UKM63,"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute",UKM6,Highlands and Islands,UKM,Scotland,268
S12000013,Na h-Eileanan Siar,S30000039,Na h-Eileanan Siar,UKM64,Na h-Eileanan Siar,UKM6,Highlands and Islands,UKM,Scotland,269
S12000023,Orkney Islands,S30000040,Orkney Islands,UKM65,Orkney Islands,UKM6,Highlands and Islands,UKM,Scotland,270
S12000027,Shetland Islands,S30000041,Shetland Islands,UKM66,Shetland Islands,UKM6,Highlands and Islands,UKM,Scotland,271
S12000041,Angus,S30000001,Angus,UKM71,Angus and Dundee City,UKM7,Eastern Scotland,UKM,Scotland,272
S12000042,Dundee City,S30000002,Dundee City,UKM71,Angus and Dundee City,UKM7,Eastern Scotland,UKM,Scotland,273
S12000047,Fife,S30000042,Fife,UKM72,Clackmannanshire and Fife,UKM7,Eastern Scotland,UKM,Scotland,274
S12000005,Clackmannanshire,S30000003,Clackmannanshire,UKM72,Clackmannanshire and Fife,UKM7,Eastern Scotland,UKM,Scotland,275
S12000019,Midlothian,S30000006,Midlothian,UKM73,East Lothian and Midlothian,UKM7,Eastern Scotland,UKM,Scotland,276
S12000010,East Lothian,S30000005,East Lothian,UKM73,East Lothian and Midlothian,UKM7,Eastern Scotland,UKM,Scotland,277
S12000036,City of Edinburgh,S30000008,City of Edinburgh,UKM75,City of Edinburgh,UKM7,Eastern Scotland,UKM,Scotland,278
S12000014,Falkirk,S30000009,Falkirk,UKM76,Falkirk,UKM7,Eastern Scotland,UKM,Scotland,279
S12000030,Stirling,S30000011,Stirling,UKM77,Perth and Kinross and Stirling,UKM7,Eastern Scotland,UKM,Scotland,280
S12000048,Perth and Kinross,S30000043,Perth and Kinross,UKM77,Perth and Kinross and Stirling,UKM7,Eastern Scotland,UKM,Scotland,281
S12000040,West Lothian,S30000012,West Lothian,UKM78,West Lothian,UKM7,Eastern Scotland,UKM,Scotland,282
S12000039,West Dunbartonshire,S30000014,West Dunbartonshire,UKM81,"East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond",UKM8,West Central Scotland,UKM,Scotland,283
S12000045,East Dunbartonshire,S30000015,East Dunbartonshire,UKM81,"East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond",UKM8,West Central Scotland,UKM,Scotland,284
S12000035,Argyll and Bute,S30000013,Helensburgh and Lomond,UKM81,"East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond",UKM8,West Central Scotland,UKM,Scotland,285
S12000046,Glasgow City,S30000019,Glasgow City,UKM82,Glasgow City,UKM8,West Central Scotland,UKM,Scotland,286
S12000018,Inverclyde,S30000022,Inverclyde,UKM83,"Inverclyde, East Renfrewshire and Renfrewshire",UKM8,West Central Scotland,UKM,Scotland,287
S12000038,Renfrewshire,S30000021,Renfrewshire,UKM83,"Inverclyde, East Renfrewshire and Renfrewshire",UKM8,West Central Scotland,UKM,Scotland,288
S12000011,East Renfrewshire,S30000020,East Renfrewshire,UKM83,"Inverclyde, East Renfrewshire and Renfrewshire",UKM8,West Central Scotland,UKM,Scotland,289
S12000044,North Lanarkshire,S30000023,North Lanarkshire,UKM84,North Lanarkshire,UKM8,West Central Scotland,UKM,Scotland,290
S12000026,Scottish Borders,S30000007,Scottish Borders,UKM91,Scottish Borders,UKM9,Southern Scotland,UKM,Scotland,291
S12000006,Dumfries and Galloway,S30000016,Dumfries and Galloway,UKM92,Dumfries and Galloway,UKM9,Southern Scotland,UKM,Scotland,292
S12000008,East Ayrshire,S30000017,East Ayrshire,UKM93,East Ayrshire and North Ayrshire mainland,UKM9,Southern Scotland,UKM,Scotland,293
S12000021,North Ayrshire,S30000018,North Ayrshire mainland,UKM93,East Ayrshire and North Ayrshire mainland,UKM9,Southern Scotland,UKM,Scotland,294
S12000028,South Ayrshire,S30000024,South Ayrshire,UKM94,South Ayrshire,UKM9,Southern Scotland,UKM,Scotland,295
S12000029,South Lanarkshire,S30000025,South Lanarkshire,UKM95,South Lanarkshire,UKM9,Southern Scotland,UKM,Scotland,296
N09000003,Belfast,N09000003,Belfast,UKN06,Belfast,UKN0,Northern Ireland,UKN,Northern Ireland,297
N09000002,"Armagh City, Banbridge and Craigavon",N09000002,"Armagh City, Banbridge and Craigavon",UKN07,"Armagh City, Banbridge and Craigavon",UKN0,Northern Ireland,UKN,Northern Ireland,298
N09000010,"Newry, Mourne and Down",N09000010,"Newry, Mourne and Down",UKN08,"Newry, Mourne and Down",UKN0,Northern Ireland,UKN,Northern Ireland,299
N09000011,Ards and North Down,N09000011,Ards and North Down,UKN09,Ards and North Down,UKN0,Northern Ireland,UKN,Northern Ireland,300
N09000005,Derry City and Strabane,N09000005,Derry City and Strabane,UKN10,Derry City and Strabane,UKN0,Northern Ireland,UKN,Northern Ireland,301
N09000009,Mid Ulster,N09000009,Mid Ulster,UKN11,Mid Ulster,UKN0,Northern Ireland,UKN,Northern Ireland,302
N09000004,Causeway Coast and Glens,N09000004,Causeway Coast and Glens,UKN12,Causeway Coast and Glens,UKN0,Northern Ireland,UKN,Northern Ireland,303
N09000001,Antrim and Newtownabbey,N09000001,Antrim and Newtownabbey,UKN13,Antrim and Newtownabbey,UKN0,Northern Ireland,UKN,Northern Ireland,304
N09000007,Lisburn and Castlereagh,N09000007,Lisburn and Castlereagh,UKN14,Lisburn and Castlereagh,UKN0,Northern Ireland,UKN,Northern Ireland,305
N09000008,Mid and East Antrim,N09000008,Mid and East Antrim,UKN15,Mid and East Antrim,UKN0,Northern Ireland,UKN,Northern Ireland,306
N09000006,Fermanagh and Omagh,N09000006,Fermanagh and Omagh,UKN16,Fermanagh and Omagh,UKN0,Northern Ireland,UKN,Northern Ireland,307
E07000050,North Dorset,E07000050,North Dorset,UKK22,Dorset CC,UKK2,Dorset and Somerset,UKK,South West (England),308
E07000053,Weymouth and Portland,E07000053,Weymouth and Portland,UKK22,Dorset CC,UKK2,Dorset and Somerset,UKK,South West (England),309
E07000187,Mendip,E07000187,Mendip,UKK23,Somerset,UKK2,Dorset and Somerset,UKK,South West (England),310
E07000188,Sedgemoor,E07000188,Sedgemoor,UKK23,Somerset,UKK2,Dorset and Somerset,UKK,South West (England),311
E07000190,Taunton Deane,E07000190,Taunton Deane,UKK23,Somerset,UKK2,Dorset and Somerset,UKK,South West (England),312
E07000191,West Somerset,E07000191,West Somerset,UKK23,Somerset,UKK2,Dorset and Somerset,UKK,South West (England),313
E07000189,South Somerset,E07000189,South Somerset,UKK23,Somerset,UKK2,Dorset and Somerset,UKK,South West (England),314
E06000052,Cornwall,E06000052,Cornwall,UKK30,Cornwall and Isles of Scilly,UKK3,Cornwall and Isles of Scilly,UKK,South West (England),315
E06000053,Isles of Scilly,E06000053,Isles of Scilly,UKK30,Cornwall and Isles of Scilly,UKK3,Cornwall and Isles of Scilly,UKK,South West (England),316
E06000026,Plymouth,E06000026,Plymouth,UKK41,Plymouth,UKK4,Devon,UKK,South West (England),317
E06000027,Torbay,E06000027,Torbay,UKK42,Torbay,UKK4,Devon,UKK,South West (England),318
E07000041,Exeter,E07000041,Exeter,UKK43,Devon CC,UKK4,Devon,UKK,South West (England),319
E07000046,Torridge,E07000046,Torridge,UKK43,Devon CC,UKK4,Devon,UKK,South West (England),320
E07000042,Mid Devon,E07000042,Mid Devon,UKK43,Devon CC,UKK4,Devon,UKK,South West (England),321
E07000040,East Devon,E07000040,East Devon,UKK43,Devon CC,UKK4,Devon,UKK,South West (England),322
E07000044,South Hams,E07000044,South Hams,UKK43,Devon CC,UKK4,Devon,UKK,South West (England),323
E07000047,West Devon,E07000047,West Devon,UKK43,Devon CC,UKK4,Devon,UKK,South West (England),324
E07000043,North Devon,E07000043,North Devon,UKK43,Devon CC,UKK4,Devon,UKK,South West (England),325
E07000045,Teignbridge,E07000045,Teignbridge,UKK43,Devon CC,UKK4,Devon,UKK,South West (England),326
W06000001,Isle of Anglesey,W06000001,Isle of Anglesey,UKL11,Isle of Anglesey,UKL1,West Wales and The Valleys,UKL,Wales,327
W06000002,Gwynedd,W06000002,Gwynedd,UKL12,Gwynedd,UKL1,West Wales and The Valleys,UKL,Wales,328
W06000003,Conwy,W06000003,Conwy,UKL13,Conwy and Denbighshire,UKL1,West Wales and The Valleys,UKL,Wales,329
W06000004,Denbighshire,W06000004,Denbighshire,UKL13,Conwy and Denbighshire,UKL1,West Wales and The Valleys,UKL,Wales,330
W06000008,Ceredigion,W06000008,Ceredigion,UKL14,South West Wales,UKL1,West Wales and The Valleys,UKL,Wales,331
W06000009,Pembrokeshire,W06000009,Pembrokeshire,UKL14,South West Wales,UKL1,West Wales and The Valleys,UKL,Wales,332
W06000010,Carmarthenshire,W06000010,Carmarthenshire,UKL14,South West Wales,UKL1,West Wales and The Valleys,UKL,Wales,333
W06000024,Merthyr Tydfil,W06000024,Merthyr Tydfil,UKL15,Central Valleys,UKL1,West Wales and The Valleys,UKL,Wales,334
W06000016,Rhondda Cynon Taf,W06000016,Rhondda Cynon Taf,UKL15,Central Valleys,UKL1,West Wales and The Valleys,UKL,Wales,335
W06000020,Torfaen,W06000020,Torfaen,UKL16,Gwent Valleys,UKL1,West Wales and The Valleys,UKL,Wales,336
W06000018,Caerphilly,W06000018,Caerphilly,UKL16,Gwent Valleys,UKL1,West Wales and The Valleys,UKL,Wales,337
W06000019,Blaenau Gwent,W06000019,Blaenau Gwent,UKL16,Gwent Valleys,UKL1,West Wales and The Valleys,UKL,Wales,338
W06000013,Bridgend,W06000013,Bridgend,UKL17,Bridgend and Neath Port Talbot,UKL1,West Wales and The Valleys,UKL,Wales,339
W06000012,Neath Port Talbot,W06000012,Neath Port Talbot,UKL17,Bridgend and Neath Port Talbot,UKL1,West Wales and The Valleys,UKL,Wales,340
W06000011,Swansea,W06000011,Swansea,UKL18,Swansea,UKL1,West Wales and The Valleys,UKL,Wales,341
W06000022,Newport,W06000022,Newport,UKL21,Monmouthshire and Newport,UKL2,East Wales,UKL,Wales,342
W06000021,Monmouthshire,W06000021,Monmouthshire,UKL21,Monmouthshire and Newport,UKL2,East Wales,UKL,Wales,343
W06000015,Cardiff,W06000015,Cardiff,UKL22,Cardiff and Vale of Glamorgan,UKL2,East Wales,UKL,Wales,344
W06000014,Vale of Glamorgan,W06000014,Vale of Glamorgan,UKL22,Cardiff and Vale of Glamorgan,UKL2,East Wales,UKL,Wales,345
W06000006,Wrexham,W06000006,Wrexham,UKL23,Flintshire and Wrexham,UKL2,East Wales,UKL,Wales,346
W06000005,Flintshire,W06000005,Flintshire,UKL23,Flintshire and Wrexham,UKL2,East Wales,UKL,Wales,347
W06000023,Powys,W06000023,Powys,UKL24,Powys,UKL2,East Wales,UKL,Wales,348
S12000033,Aberdeen City,S30000026,Aberdeen City,UKM50,Aberdeen City and Aberdeenshire,UKM5,North Eastern Scotland,UKM,Scotland,349
S12000034,Aberdeenshire,S30000027,Aberdeenshire,UKM50,Aberdeen City and Aberdeenshire,UKM5,North Eastern Scotland,UKM,Scotland,350
E08000015,Wirral,E08000015,Wirral,UKD74,Wirral,UKD7,Merseyside,UKD,North West (England),351
E06000010,"Kingston upon Hull, City of",E06000010,"Kingston upon Hull, City of",UKE11,"Kingston upon Hull, City of",UKE1,East Yorkshire and Northern Lincolnshire,UKE,Yorkshire and The Humber,352
E06000011,East Riding of Yorkshire,E06000011,East Riding of Yorkshire,UKE12,East Riding of Yorkshire,UKE1,East Yorkshire and Northern Lincolnshire,UKE,Yorkshire and The Humber,353
E06000013,North Lincolnshire,E06000013,North Lincolnshire,UKE13,North and North East Lincolnshire,UKE1,East Yorkshire and Northern Lincolnshire,UKE,Yorkshire and The Humber,354
E06000012,North East Lincolnshire,E06000012,North East Lincolnshire,UKE13,North and North East Lincolnshire,UKE1,East Yorkshire and Northern Lincolnshire,UKE,Yorkshire and The Humber,355
E06000014,York,E06000014,York,UKE21,York,UKE2,North Yorkshire,UKE,Yorkshire and The Humber,356
E07000169,Selby,E07000169,Selby,UKE22,North Yorkshire CC,UKE2,North Yorkshire,UKE,Yorkshire and The Humber,357
E07000163,Craven,E07000163,Craven,UKE22,North Yorkshire CC,UKE2,North Yorkshire,UKE,Yorkshire and The Humber,358
E07000167,Ryedale,E07000167,Ryedale,UKE22,North Yorkshire CC,UKE2,North Yorkshire,UKE,Yorkshire and The Humber,359
E07000164,Hambleton,E07000164,Hambleton,UKE22,North Yorkshire CC,UKE2,North Yorkshire,UKE,Yorkshire and The Humber,360
E07000165,Harrogate,E07000165,Harrogate,UKE22,North Yorkshire CC,UKE2,North Yorkshire,UKE,Yorkshire and The Humber,361
E07000168,Scarborough,E07000168,Scarborough,UKE22,North Yorkshire CC,UKE2,North Yorkshire,UKE,Yorkshire and The Humber,362
E07000166,Richmondshire,E07000166,Richmondshire,UKE22,North Yorkshire CC,UKE2,North Yorkshire,UKE,Yorkshire and The Humber,363
E08000016,Barnsley,E08000016,Barnsley,UKE31,"Barnsley, Doncaster and Rotherham",UKE3,South Yorkshire,UKE,Yorkshire and The Humber,364
E08000017,Doncaster,E08000017,Doncaster,UKE31,"Barnsley, Doncaster and Rotherham",UKE3,South Yorkshire,UKE,Yorkshire and The Humber,365
E08000018,Rotherham,E08000018,Rotherham,UKE31,"Barnsley, Doncaster and Rotherham",UKE3,South Yorkshire,UKE,Yorkshire and The Humber,366
E08000019,Sheffield,E08000019,Sheffield,UKE32,Sheffield,UKE3,South Yorkshire,UKE,Yorkshire and The Humber,367
E08000032,Bradford,E08000032,Bradford,UKE41,Bradford,UKE4,West Yorkshire,UKE,Yorkshire and The Humber,368
E08000035,Leeds,E08000035,Leeds,UKE42,Leeds,UKE4,West Yorkshire,UKE,Yorkshire and The Humber,369
E08000034,Kirklees,E08000034,Kirklees,UKE44,Calderdale and Kirklees,UKE4,West Yorkshire,UKE,Yorkshire and The Humber,370
E08000033,Calderdale,E08000033,Calderdale,UKE44,Calderdale and Kirklees,UKE4,West Yorkshire,UKE,Yorkshire and The Humber,371
E08000036,Wakefield,E08000036,Wakefield,UKE45,Wakefield,UKE4,West Yorkshire,UKE,Yorkshire and The Humber,372
E06000015,Derby,E06000015,Derby,UKF11,Derby,UKF1,Derbyshire and Nottinghamshire,UKF,East Midlands (England),373
E07000033,Bolsover,E07000033,Bolsover,UKF12,East Derbyshire,UKF1,Derbyshire and Nottinghamshire,UKF,East Midlands (England),374
E07000034,Chesterfield,E07000034,Chesterfield,UKF12,East Derbyshire,UKF1,Derbyshire and Nottinghamshire,UKF,East Midlands (England),375
E07000038,North East Derbyshire,E07000038,North East Derbyshire,UKF12,East Derbyshire,UKF1,Derbyshire and Nottinghamshire,UKF,East Midlands (England),376
E07000036,Erewash,E07000036,Erewash,UKF13,South and West Derbyshire,UKF1,Derbyshire and Nottinghamshire,UKF,East Midlands (England),377
E07000037,High Peak,E07000037,High Peak,UKF13,South and West Derbyshire,UKF1,Derbyshire and Nottinghamshire,UKF,East Midlands (England),378
E07000032,Amber Valley,E07000032,Amber Valley,UKF13,South and West Derbyshire,UKF1,Derbyshire and Nottinghamshire,UKF,East Midlands (England),379
E07000035,Derbyshire Dales,E07000035,Derbyshire Dales,UKF13,South and West Derbyshire,UKF1,Derbyshire and Nottinghamshire,UKF,East Midlands (England),380
E07000039,South Derbyshire,E07000039,South Derbyshire,UKF13,South and West Derbyshire,UKF1,Derbyshire and Nottinghamshire,UKF,East Midlands (England),381
E06000018,Nottingham,E06000018,Nottingham,UKF14,Nottingham,UKF1,Derbyshire and Nottinghamshire,UKF,East Midlands (England),382
E07000170,Ashfield,E07000170,Ashfield,UKF15,North Nottinghamshire,UKF1,Derbyshire and Nottinghamshire,UKF,East Midlands (England),383
E07000171,Bassetlaw,E07000171,Bassetlaw,UKF15,North Nottinghamshire,UKF1,Derbyshire and Nottinghamshire,UKF,East Midlands (England),384
E07000174,Mansfield,E07000174,Mansfield,UKF15,North Nottinghamshire,UKF1,Derbyshire and Nottinghamshire,UKF,East Midlands (England),385
E07000175,Newark and Sherwood,E07000175,Newark and Sherwood,UKF15,North Nottinghamshire,UKF1,Derbyshire and Nottinghamshire,UKF,East Midlands (England),386
E07000173,Gedling,E07000173,Gedling,UKF16,South Nottinghamshire,UKF1,Derbyshire and Nottinghamshire,UKF,East Midlands (England),387
E07000172,Broxtowe,E07000172,Broxtowe,UKF16,South Nottinghamshire,UKF1,Derbyshire and Nottinghamshire,UKF,East Midlands (England),388
E07000176,Rushcliffe,E07000176,Rushcliffe,UKF16,South Nottinghamshire,UKF1,Derbyshire and Nottinghamshire,UKF,East Midlands (England),389
E06000016,Leicester,E06000016,Leicester,UKF21,Leicester,UKF2,"Leicestershire, Rutland and Northamptonshire",UKF,East Midlands (England),390
E07000129,Blaby,E07000129,Blaby,UKF22,Leicestershire CC and Rutland,UKF2,"Leicestershire, Rutland and Northamptonshire",UKF,East Midlands (England),391
E07000133,Melton,E07000133,Melton,UKF22,Leicestershire CC and Rutland,UKF2,"Leicestershire, Rutland and Northamptonshire",UKF,East Midlands (England),392
E06000017,Rutland,E06000017,Rutland,UKF22,Leicestershire CC and Rutland,UKF2,"Leicestershire, Rutland and Northamptonshire",UKF,East Midlands (England),393
E07000130,Charnwood,E07000130,Charnwood,UKF22,Leicestershire CC and Rutland,UKF2,"Leicestershire, Rutland and Northamptonshire",UKF,East Midlands (England),394
E07000131,Harborough,E07000131,Harborough,UKF22,Leicestershire CC and Rutland,UKF2,"Leicestershire, Rutland and Northamptonshire",UKF,East Midlands (England),395
E07000135,Oadby and Wigston,E07000135,Oadby and Wigston,UKF22,Leicestershire CC and Rutland,UKF2,"Leicestershire, Rutland and Northamptonshire",UKF,East Midlands (England),396
E07000132,Hinckley and Bosworth,E07000132,Hinckley and Bosworth,UKF22,Leicestershire CC and Rutland,UKF2,"Leicestershire, Rutland and Northamptonshire",UKF,East Midlands (England),397
E07000134,North West Leicestershire,E07000134,North West Leicestershire,UKF22,Leicestershire CC and Rutland,UKF2,"Leicestershire, Rutland and Northamptonshire",UKF,East Midlands (England),398
E07000151,Daventry,E07000151,Daventry,UKF24,West Northamptonshire,UKF2,"Leicestershire, Rutland and Northamptonshire",UKF,East Midlands (England),399
E07000154,Northampton,E07000154,Northampton,UKF24,West Northamptonshire,UKF2,"Leicestershire, Rutland and Northamptonshire",UKF,East Midlands (England),400
